track_id,frame,x,y
0,0,46,335
0,1,46,335
0,2,47,336
0,3,47,336
0,4,48,336
0,5,48,337
0,6,49,337
0,7,49,337
0,8,50,337
0,9,50,338
0,10,51,338
0,11,51,338
0,12,52,338
0,13,52,338
0,14,53,338
0,15,53,339
0,16,54,339
0,17,54,339
0,18,55,339
0,19,55,339
0,20,56,339
0,21,56,339
0,22,57,338
0,23,57,338
0,24,58,338
0,25,58,338
0,26,59,338
0,27,59,338
0,28,60,338
0,29,60,337
0,30,61,337
0,31,61,337
0,32,62,337
0,33,62,336
0,34,63,336
0,35,63,337
0,36,44,353
0,37,44,353
0,38,45,353
0,39,45,353
0,40,45,353
0,41,46,354
0,42,46,354
0,43,46,354
0,44,47,354
0,45,47,354
0,46,47,354
0,47,48,354
0,48,48,354
0,49,48,354
0,50,49,354
0,51,49,354
0,52,50,354
0,53,50,354
0,54,50,354
0,55,51,354
0,56,51,354
0,57,51,354
0,58,52,353
0,59,52,353
0,60,52,353
0,61,53,353
0,62,53,353
0,63,53,352
0,64,54,352
0,65,54,352
0,66,55,352
0,67,55,351
0,68,55,351
0,69,56,350
0,70,56,350
0,71,56,350
0,72,57,349
0,73,57,349
0,74,57,348
0,75,58,348
0,76,58,347
0,77,59,347
0,78,59,346
0,79,59,346
0,80,60,345
0,81,60,345
0,82,60,344
0,83,61,344
0,84,61,343
0,85,61,343
0,86,62,342
0,87,62,341
0,88,62,341
0,89,63,340
0,90,63,340
0,91,64,339
0,92,64,338
0,93,64,338
0,94,65,337
0,95,65,337
0,96,65,336
0,97,66,335
0,98,66,335
0,99,66,334
0,100,67,334
0,101,67,333
0,102,67,333
0,103,68,332
0,104,68,331
0,105,69,331
0,106,69,330
0,107,69,330
0,108,70,329
0,109,70,329
0,110,70,328
0,111,71,328
0,112,71,328
1,0,30,281
1,1,30,281
1,2,30,282
1,3,30,282
1,4,30,283
1,5,31,283
1,6,31,284
1,7,32,284
1,8,32,284
1,9,32,285
1,10,33,285
1,11,33,286
1,12,33,286
1,13,34,287
1,14,34,287
1,15,35,288
1,16,35,288
1,17,35,288
1,18,36,289
1,19,36,289
1,20,37,289
1,21,37,290
1,22,37,290
1,23,38,290
1,24,38,290
1,25,38,291
1,26,39,291
1,27,39,291
1,28,40,291
1,29,40,291
1,30,40,292
1,31,41,292
1,32,41,292
1,33,41,292
1,34,42,292
1,35,42,292
1,36,43,292
1,37,43,292
1,38,43,292
1,39,44,292
1,40,44,292
1,41,45,292
1,42,45,292
1,43,45,292
1,44,46,292
1,45,46,292
1,46,46,292
1,47,47,292
1,48,47,292
1,49,48,292
1,50,48,292
